dst,dst_ip,num_ports,num_connections,num_syn,num_rst
390634131,23.72.154.147,2,91,11,4
391087995,23.79.135.123,1,328,10,4
1747684107,104.43.139.11,1,32,4,4
840085831,50.18.177.71,1,52,4,4
915675628,54.148.25.236,2,43,4,4
391088691,23.79.138.51,1,41,3,4
921482203,54.236.179.219,1,42,3,4
136783145,8.39.37.41,1,23,3,4
920081116,54.215.82.220,1,74,3,4
921418991,54.235.188.239,1,22,2,4
2915183256,173.194.42.152,1,33,2,4
3090403688,184.51.209.104,1,18,2,4
301545977,17.249.57.249,1,29,2,4
301545981,17.249.57.253,1,75,2,4
1822467725,108.160.166.141,1,28,2,4
1357875587,80.239.137.131,1,18,2,4
1796536788,107.20.249.212,1,25,2,4
3221245458,192.0.78.18,1,29,2,4
1249764294,74.125.227.198,1,52,2,4
3236274969,192.229.163.25,1,82,2,4
301545980,17.249.57.252,1,29,2,4
391088458,23.79.137.74,1,22,2,4
3223256151,192.30.252.87,1,532,1,4
2886732491,172.16.10.203,401,6535,5428,3
171719931,10.60.60.251,946,3196,1867,3
175636510,10.120.0.30,2,65052,1428,3
169088251,10.20.20.251,999,2710,1341,3
1249764263,74.125.227.167,2,1037,813,3
175753248,10.121.200.32,681,4055,602,3
174351365,10.100.100.5,677,4133,529,3
174351611,10.100.100.251,9,1638,334,3
1611768650,96.17.163.74,1,448,276,3
1611768658,96.17.163.82,2,455,273,3
178309601,10.160.201.225,166,3342,138,3
176446746,10.132.93.26,162,1730,133,3
178957116,10.170.171.60,154,3188,131,3
3237022267,192.241.10.59,1,4424,39,3
3232242178,192.168.26.2,7,3801,21,3
2918315228,173.241.244.220,1,96,17,3
1677167057,99.247.137.209,1,308,11,3
1805721254,107.161.30.166,2,34,11,3
1249764307,74.125.227.211,2,848,11,3
872462224,52.0.183.144,1,153,10,3
520962562,31.13.66.2,2,134,8,3
1249713759,74.125.30.95,2,83,7,3
919619030,54.208.69.214,1,107,7,3
758074471,45.47.76.103,1,226,6,3
2682300123,159.224.166.219,1,227,6,3
3342570581,199.59.148.85,1,117,4,3
1117209994,66.151.69.138,1,19,4,3
1245847231,74.66.30.191,1,69,3,3
3090403513,184.51.208.185,1,46,3,3
3090403783,184.51.209.199,1,37,2,3
1611663145,96.16.7.41,1,107,2,3
1822467773,108.160.166.189,1,26,2,3
3090326233,184.50.162.217,1,37,2,3
3342570950,199.59.149.198,1,21,1,3
1425627994,84.249.91.90,1,9,1,3
2904059463,173.24.110.71,1,19,0,3
3342571052,199.59.150.44,1,12,0,3
3342570995,199.59.149.243,1,12,0,3
1249764259,74.125.227.163,2,927,800,2
1249764262,74.125.227.166,2,1551,793,2
1249764261,74.125.227.165,2,1172,788,2
168430331,10.10.10.251,100,1889,502,2
1611768667,96.17.163.91,2,431,381,2
173693691,10.90.90.251,4,1647,329,2
171061866,10.50.50.106,113,845,239,2
171061865,10.50.50.105,105,2726,235,2
3232300026,192.168.251.250,45,68339,220,2
178921783,10.170.33.55,163,3257,137,2
3232247686,192.168.47.134,160,3299,136,2
178969890,10.170.221.34,164,3206,135,2
178969901,10.170.221.45,164,3373,135,2
176439408,10.132.64.112,164,3454,134,2
182190247,10.220.0.167,164,1896,134,2
178916432,10.170.12.80,160,1691,130,2
2908292211,173.89.4.115,1,4861,78,2
1168425045,69.164.192.85,2,912,58,2
3090406014,184.51.218.126,1,72,28,2
3627735716,216.58.218.164,2,3271,22,2
3627735750,216.58.218.198,2,396,22,2
3627735754,216.58.218.202,2,439,18,2
3232292880,192.168.224.16,3,3142,18,2
2918315227,173.241.244.219,1,122,17,2
2915201875,173.194.115.83,2,1322,17,2
2915201876,173.194.115.84,2,1022,14,2
1249764306,74.125.227.210,2,1058,14,2
1089063670,64.233.202.246,1,567,13,2
3090406896,184.51.221.240,2,63,10,2
911481626,54.84.27.26,2,283,8,2
1093954571,65.52.108.11,2,58,8,2
3090403834,184.51.209.250,1,410,7,2
3221243930,192.0.72.26,2,369,7,2
920780679,54.225.255.135,1,33,7,2
1611768641,96.17.163.65,2,152,6,2
3338456593,198.252.206.17,1,36,6,2
3223256194,192.30.252.130,2,54,5,2
911480003,54.84.20.195,1,207,4,2
391087763,23.79.134.147,2,62,4,2
